UID          PID    PPID  C STIME TTY          TIME CMD
root         928       1  0 14:35 ?        00:00:00 /usr/libexec/packagekitd
root        1099       1  0 14:35 ?        00:00:00 /usr/sbin/cups-browsed
kernoops    1104       1  0 14:35 ?        00:00:00 /usr/sbin/kerneloops --test
kernoops    1113       1  0 14:35 ?        00:00:00 /usr/sbin/kerneloops
root        1139       2  0 14:35 ?        00:00:00 [kworker/R-USBC0]
colord      1193       1  0 14:35 ?        00:00:00 /usr/libexec/colord
root        1306     754  0 14:35 ?        00:00:00 gdm-session-worker [pam/gdm-password]
seonu       1314       1  0 14:35 ?        00:00:01 /lib/systemd/systemd --user
seonu       1315    1314  0 14:35 ?        00:00:00 (sd-pam)
seonu       1321    1314  0 14:35 ?        00:00:00 /usr/bin/pipewire
seonu       1322    1314  0 14:35 ?        00:00:00 /usr/bin/pipewire-media-session
seonu       1323    1314  0 14:35 ?        00:00:00 /usr/bin/pulseaudio --daemonize=no --log-target=journal
seonu       1324    1314  0 14:35 ?        00:00:01 /snap/snapd-desktop-integration/315/usr/bin/snapd-desktop-integration
seonu       1333       1  0 14:35 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
seonu       1353    1314  0 14:35 ?        00:00:01 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
seonu       1354    1314  0 14:35 ?        00:00:00 /usr/libexec/xdg-document-portal
seonu       1358    1314  0 14:35 ?        00:00:00 /usr/libexec/xdg-permission-store
root        1364    1354  0 14:35 ?        00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
seonu       1380    1306  0 14:35 tty2     00:00:00 /usr/libexec/gdm-wayland-session env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
seonu       1383    1380  0 14:35 tty2     00:00:00 /usr/libexec/gnome-session-binary --session=ubuntu
seonu       1426    1314  0 14:35 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
seonu       1436    1314  0 14:35 ?        00:00:00 /usr/libexec/gvfsd
seonu       1444    1314  0 14:35 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
seonu       1446    1314  0 14:35 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
seonu       1469    1446  0 14:35 ?        00:00:00 /usr/libexec/at-spi-bus-launcher --launch-immediately
seonu       1472    1314  0 14:35 ?        00:01:51 /usr/bin/gnome-shell
seonu       1480    1469  0 14:35 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
root        1483       2  0 14:35 ?        00:00:00 [krfcommd]
seonu       1535    1314  0 14:36 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
seonu       1541    1314  0 14:36 ?        00:00:00 /usr/libexec/evolution-source-registry
seonu       1547    1314  0 14:36 ?        00:00:00 /usr/libexec/goa-daemon
seonu       1550    1314  0 14:36 ?        00:00:00 /usr/libexec/evolution-calendar-factory
seonu       1551    1314  0 14:36 ?        00:00:00 /usr/libexec/dconf-service
seonu       1559    1314  0 14:36 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
seonu       1563    1314  0 14:36 ?        00:00:00 /usr/libexec/goa-identity-service
seonu       1566    1324  0 14:36 ?        00:00:00 /snap/snapd-desktop-integration/315/usr/bin/snapd-desktop-integration
seonu       1578    1314  0 14:36 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
seonu       1584    1314  0 14:36 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
seonu       1587    1314  0 14:36 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
seonu       1596    1314  0 14:36 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
